"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","ix","time"
-0.04138522,-0.06023326,-0.0621604,-0.003771218,0.004347833,0,0.01689449,-0.03278982,-0.006389798,-0.02693766,0,-0.01791093,-0.01147867,-0.02871011,-0.02649162,-0.06678048,-0.03253579,-0.04429422,-0.01181295,-0.02702867,-0.06351341,-0.02247286,-0.03738753,-0.02807202,-0.007561473,-0.00685717,-0.01745245,-0.06087072,0.008396355,1,"1990-04-02"
0.02938507,0.004184107,0.01348335,0.03641412,-0.01083434,0,0.02925741,0.06669137,0.02319692,0.01001678,0.02259983,0.02698814,-0.02097415,0.06831924,0.006557401,0.05034175,0.04840914,0.03527703,0.01455895,0.005012542,0.03125254,0.007434978,0.02979736,0.06615459,0.0364374,0.01376169,0.008106588,0.04633256,-0.01340054,2,"1990-04-09"
-0.007920833,0.0649579,-0.002259888,0.02570158,-0.02132277,0,-0.00404041,-0.01369884,0.02241359,0.02377022,0.01149438,0.009160369,0.0188026,0.01015237,0.03344793,-0.01349548,0.01775672,0.03656715,0.04212134,0.02888901,0.04879016,0.007490672,-0.01687013,0.02243085,0.0317487,0.02810489,0.02950066,0.0166324,0.03040775,3,"1990-04-16"
0.005934736,-0.01993421,-0.05916292,-0.07396491,-0.01673679,0,-0.04082199,-0.01015237,-0.02891134,-0.02377022,-0.09373248,-0.03910273,-0.03986709,-0.06899287,-0.04652002,-0.05223119,-0.03834336,-0.04728153,-0.004768726,-0.01878791,-0.09531018,0.01515181,-0.05073552,-0.007532992,0,-0.03958608,-0.05249018,-0.04709161,-0.03207026,4,"1990-04-23"
-0.02932762,-0.06577131,0.002129926,-0.05253245,-0.05253733,0,-0.02043494,-0.04068731,0.005194817,-0.03947881,-0.01566612,-0.05173567,-0.03129263,-0.06453852,-0.0171678,-0.03500357,-0.06228284,-0.02456264,-0.05100781,-0.04790346,-0.0588405,-0.05927661,-0.02615668,-0.04941536,-0.02193508,-0.01810004,-0.05526268,-0.05448819,-0.04228272,5,"1990-04-30"
-0.02285814,-0.030336,0.004273511,-0.00293686,0.003944778,0,-0.02250095,-0.0401321,-0.02443852,0,-0.1079478,0.04000533,-0.01204834,0,-0.01687804,-0.03855899,-0.02040887,-0.003460211,0.006349228,-0.02547909,-0.0419642,0,-0.01367543,0,-0.02531781,0.01810004,-0.02861881,-0.01690181,0.001593626,6,"1990-05-07"
0.01136376,0.008000043,0.0505047,-0.04865051,-0.02536721,0,0.03266622,0.02728396,-0.02261403,-0.003220615,-0.02298952,-0.04280254,-0.007457156,-0.05218575,-0.03089844,-0.01408474,-0.03265017,-0.04722631,-0.007252978,-0.05803155,-0.07898841,-0.04225981,-0.01683541,0.007168489,0.003853569,-0.006825965,0.04051727,-0.0147877,0.02748758,7,"1990-05-14"
-0.02631731,-0.01197619,-0.07587603,-0.03620801,0.01162804,0,-0.02522202,-0.02521142,-0.08907963,-0.02539819,-0.05741091,-0.01111123,-0.02784063,0,-0.0260275,-0.03211285,-0.03026366,-0.03560247,-0.01078178,-0.005917177,-0.01257878,-0.04054609,-0.06307669,-0.0318611,0,-0.04218161,-0.01939716,-0.05705647,-0.02748758,8,"1990-05-21"
-0.003703708,-0.03317377,-0.03688943,0.02675562,0.005865119,-0.117783,0,0.02521142,0.04058528,0.01579812,0.07576005,-0.02993421,0.006281731,0.0257525,0.01996074,-0.01122346,0.02191869,0.02088429,0.004478288,0.04989697,0.01257878,0.02006756,0.03509132,0.0318611,-0.03788332,0.01975915,0.01505405,-0.01888468,0.01607752,9,"1990-05-28"
0.01489785,-0.01334624,0.05373193,-0.08890039,0.01382056,0,-0.03547773,-0.02105341,-0.06527789,-0.02204814,-0.07576005,0.03270046,-0.01348119,-0.04255961,-0.02193508,0.05270406,-0.02056275,-0.01769958,-0.05586094,-0.03503786,-0.0250013,-0.02666825,-0.0537254,0.03105272,0.003724399,-0.03700096,0.002169198,-0.05460413,-0.01767114,10,"1990-06-04"
0.01322021,0.02105341,0.03896597,0.04664058,0.03232605,0,0.0317487,0.05129329,0.03039063,0.00938974,0.02608844,0.01394723,0.03504008,0.05129329,-0.0156559,0.04327598,0.03591546,0.03241775,0.0301617,0.01356464,0,0.01993421,0.01394291,0.01872714,0.0419109,0.03700096,0.04553813,0.0244511,0,11,"1990-06-11"
0.02113431,-0.01535539,0.006644543,-0.01943849,0.1868492,0,-0.008647367,-0.01307208,-0.003422707,0.003149609,0.03587829,-0.008391658,-0.01083754,-0.02597549,-0.03435452,-0.01463441,-0.02225405,-0.03560247,-0.01820596,-0.0603568,0,0,-0.04573968,-0.001888575,-0.01160555,0.01339306,-0.01578387,-0.01798904,0,12,"1990-06-18"
-0.04183119,-0.03555098,0.01342302,-0.03325965,-0.004938282,0,0.008647367,0.02188271,-0.02140927,-0.02184174,-0.02257432,-0.002781643,-0.004399909,0.008583744,-0.01674458,0,-0.008219224,-0.006339165,-0.0102565,0.002861232,0.03774033,-0.02649162,-0.02210849,-0.00938974,-0.01337174,-0.004484312,0.01351372,-0.001619434,0.001593626,13,"1990-06-25"
-0.03297002,0.03936778,0.06273834,-0.01051324,0.002466092,-0.1053605,-0.05901773,-0.04752514,-0.02640417,-0.05698693,-0.07729167,0,-0.02504948,-0.06669137,-0.02370211,0.03448618,-0.002724797,-0.03416481,-0.03097778,-0.02685674,-0.07410797,-0.03846628,-0.01159433,0.005623258,-0.03358525,-0.02431059,0.03695571,-0.1317093,-0.02052164,14,"1990-07-02"
0.03670137,0.003831422,-0.05595865,0.05265719,0,0,-0.04572225,-0.0250013,0.04440241,0.01173034,0.06398771,0.04255961,0.02846996,0.1017827,-0.03540193,0.01515181,-0.05428202,0.02629695,0.005787532,-0.01247417,0.07410797,-0.06099451,0.01305312,-0.009354605,0.01292723,-0.02586351,-0.004694844,0.06142281,0.003129893,15,"1990-07-09"
-0.0312813,0.03317377,0.01600034,-0.02129398,0.09038406,0.1053605,0.003357586,-0.01632689,0.1027155,0.02690745,0.07784249,0.02941389,0.05482892,0.03636764,0.00873368,0.03101024,0.03808734,0.1268364,0,0.0194721,0.05264373,-0.02339288,0.02662879,0.03216928,-0.01292723,0.0171678,0.01059457,0.05902334,-0.01246122,16,"1990-07-16"
0.0312813,0.06136895,0.06423135,0.0925391,0.01634914,0.117783,-0.02981999,0.006091389,0.05693646,0.03077166,0.04879016,0.08403075,0.02938302,0.1074202,0.07464793,0.1316584,0.04378264,0.04736769,0.04061472,0.03138631,0.08455739,0.02339288,0.07468477,-0.02469261,0.007366516,0.05792265,-0.03944827,0.03915672,-0.07598591,17,"1990-07-23"
0.03615998,0.008474627,0,0.01419269,0.002751033,0,0.009841523,0.07614671,0.02562514,0.04800922,0.01511364,0.07061757,0.04687507,0.02083409,0.01715962,-0.136894,-0.002793298,0.01314573,0.03425895,0.00873368,-0.0145988,0.0119049,0.001616815,0.04803998,0.03192759,0.09622803,0.0525515,0.01677892,0.01736657,18,"1990-07-30"
0.0038835,0.08199497,0,0.08841576,0.05376118,0,-0.007662873,0.003302149,0.04042362,0.04013917,0.02051354,0.08732818,0.00615731,0.1112256,-0.00192123,0.02377919,0.041287,0.05638033,0.01078178,0.03269236,0.07522342,0.03039748,0.0130295,-0.007843177,0.04688359,0.02298952,0.01449301,0.06465133,-0.01016712,19,"1990-08-06"
